train_loss,val_loss
0.9031481302164971,0.8114533349871635
0.5320611691221278,0.6443031883488098
0.4336811643331609,0.6301688815777501
0.40167011645563105,0.6066701076924801
0.39173021024846016,0.5462122606113553
0.3628998947270373,0.5950009102622668
0.35790887998139603,0.5027628171568116
0.3446011055023112,0.5340274289871255
0.341874513339172,0.49356627464294434
0.33758286386728287,0.5520774157096943
0.33659963230503365,0.5160351184507211
0.32717648877742445,0.5347570848340789
0.31416195757845616,0.5042030482242504
0.30999288818937665,0.5153839805473884
0.31152402657143613,0.4548901664093137
0.31152845126517276,0.4792008164028327
0.3022677190998133,0.4707330508778493
0.3010914903530415,0.4893269424016277
0.3021331494475933,0.5839718648542961
0.2911391909769241,0.49241258141895133
0.2942965324730315,0.5457284900670251
0.2890226253645217,0.6272223501776656
0.2884302646555799,0.5042332750745118
0.28550631632196144,0.5924463529760639
0.3010007621760064,0.49615381518378854
0.2783303925014557,0.6663973929050068
0.2894011453745213,0.6132814687055846
0.2854661136231524,0.4547166853832702
0.281513637724392,0.5087122423574328
0.27582208166255595,0.4668558061433335
0.2770551083252785,0.4560427572578192
0.27691207398125467,0.4851976592714588
0.2774526426132689,0.5555534545953075
0.27430586604044793,0.49400148742521804
0.2753718302763523,0.5189293605896333
0.27042469778593553,0.5803982187062502
0.2741473378970268,0.49770556048800546
0.27358819893065917,0.5756889310044547
0.27047432721295256,0.5188207837442557
0.2787488697374121,0.5380003050280114
0.2688385305252481,0.5173596685441831
0.2679913260359713,0.5705006360076368
0.27249168889953734,0.5844782575344046
